candidate,feature_set,fold,macro_f1,accuracy,dropout_brier,dropout_average_precision,seconds
dummy,semester1,1,0.2219430485762144,0.4990583804143126,0.2176566603598512,0.32015065913371,0.016
dummy,semester1,2,0.2219430485762144,0.4990583804143126,0.21832869134013833,0.3220338983050847,0.018
dummy,semester1,3,0.2219430485762144,0.4990583804143126,0.21832869134013835,0.3220338983050847,0.014
dummy,semester1,4,0.2219430485762144,0.4990583804143126,0.21832869134013835,0.3220338983050847,0.014
dummy,semester1,5,0.2222222222222222,0.5,0.21787178198001822,0.32075471698113206,0.013
logistic,semester1,1,0.5583512899913753,0.7175141242937854,0.12370734512754353,0.815805414663057,0.132
logistic,semester1,2,0.534165361034204,0.6949152542372882,0.13180508191948057,0.7939902993729914,0.152
logistic,semester1,3,0.5368177519717777,0.711864406779661,0.12411925377186317,0.8220860790356479,0.126
logistic,semester1,4,0.5596877919782032,0.7325800376647834,0.11661527922932763,0.8384889072065043,0.147
logistic,semester1,5,0.5321958123391684,0.7132075471698113,0.11955487636650564,0.8337549710354732,0.129
random_forest,semester1,1,0.6159159557817276,0.7080979284369114,0.132028266673068,0.7854147815576769,1.466
random_forest,semester1,2,0.6100797198044905,0.696798493408663,0.13169643179818125,0.7976976626279114,1.49
random_forest,semester1,3,0.6548888474326581,0.7382297551789078,0.12526305117519834,0.8032282908696591,1.458
random_forest,semester1,4,0.6286573420068947,0.7024482109227872,0.12163085996211606,0.8311102321268768,1.492
random_forest,semester1,5,0.6229264060713188,0.7245283018867924,0.12313366457883759,0.8219730970919374,1.483
hist_gradient_boosting,semester1,1,0.5565026009490247,0.7062146892655368,0.12973425549797668,0.799108860743994,2.463
hist_gradient_boosting,semester1,2,0.5563813648920032,0.7005649717514124,0.1326006877442226,0.7980619430597384,2.53
hist_gradient_boosting,semester1,3,0.5409447949640728,0.7099811676082862,0.12444778824585509,0.8166888352491082,2.507
hist_gradient_boosting,semester1,4,0.5719683481701286,0.7156308851224106,0.11840263464098168,0.8339442603378759,2.485
hist_gradient_boosting,semester1,5,0.5795824867111343,0.720754716981132,0.121617067974467,0.8284117098591287,3.046
logistic,admission,1,0.4199943358821863,0.5800376647834274,0.1916085630403314,0.5297158152983126,0.205
logistic,admission,2,0.417725916264662,0.5819209039548022,0.1858896996178916,0.5710938435533892,0.281
logistic,admission,3,0.42395013755603267,0.5819209039548022,0.18521912851090924,0.5766494381570555,0.458
logistic,admission,4,0.4412131472072267,0.591337099811676,0.1826519793614645,0.5795069769545828,0.348
logistic,admission,5,0.42994355312135113,0.5962264150943396,0.18088388710233222,0.5781479390441568,0.317
